,※入力規則,"キャスト名の姓名の間には半角スペースを入れてください

※キャスト名の欄がピンク色にハイライトされた場合、どこかの行とキャスト名が重複しているため、新たにIDを割り当てずに既存のIDを利用してください","命名ルール：cast_image_{id}.png
※ sFTPでのS3へのアップロード

セルには{フォルダ}/{フォルダ}/{フォルダ}/{ファイル名}のように記載
※コンテンツ素材の前は、public/としてください",芸人さんはコンビ名、アイドルはグループ名を入力用_所属グループマスタのIDで指定。,,ID指定（声優、俳優、監督、スタッフなどをマスタ管理）
,id,キャスト名,キャスト画像,所属グループ,ジャンル,役割
,id,name,image,group,,
,600,深川 和征,,,anime,声優
,601,土田 玲央,,,anime,声優
,602,鵜澤 正太郎,,,anime,声優
,603,日髙 のり子,,,anime,声優
,604,赤崎 千夏,,,anime,声優
,605,梶田 大嗣,,,anime,声優
,606,市来 光弘,,,anime,声優
,607,徳留 慎乃佑,,,anime,声優
,608,保村 真,,,anime,声優
,609,魚建,,,anime,声優
,610,楠 大典,,,anime,声優
,611,橋本 晃太朗,,,anime,声優
,612,神永 圭佑,,,anime,声優
,613,細貝 圭,,,anime,声優
,614,帆世 雄一,,,anime,声優
,615,洲崎 綾,,,anime,声優
,616,ゆうピソ,,,anime,声優
,617,いくピソ,,,anime,声優
,618,茶風林,,,anime,声優
,619,塙 真奈美,,,anime,声優
,620,後藤 ヒロキ,,,anime,声優
,621,越後屋 コースケ,,,anime,声優
,622,弓木 英梨乃,,,anime,声優
,623,青山 桐子,,,anime,声優
,624,酒井 敬幸,,,anime,声優
,625,荒木 香恵,,,anime,声優
,626,宮田 幸季,,,anime,声優
,627,松浦 愛弓,,,anime,声優
,628,白石 稔,,,anime,声優
,629,飯野 茉優,,,anime,声優
,630,堀本 凪沙,,,anime,声優
,631,本谷 史織,,,anime,声優
,632,大自然 ロジャー,,,anime,声優
,633,木下 章嗣,,,anime,声優
,634,柊子,,,anime,声優
,635,こぶし のぶゆき,,,anime,声優
,636,城内 由茄子,,,anime,声優
,637,坂本 悠里,,,anime,声優
,638,末次 純,,,anime,声優
,639,柳 晃平,,,anime,声優
,640,増元 拓也,,,anime,声優
,641,菅原 達也,,,anime,声優
,642,谷江 玲音,,,anime,声優
,643,朝田 陽貴,,,anime,声優
,644,三浦 勝之,,,anime,声優
,645,山本 友理,,,anime,声優
,646,河本 大貴,,,anime,声優
,647,花倉 洸幸,,,anime,声優
,648,赤﨑 千夏,,,anime,声優
